2019-08-28 16:05:23,316 [19] INFO  Logger (null) - [GameplayScene_BEGIN_MULLIGAN] MulliganManager.IsMulliganActive.
2019-08-28 16:05:25,083 [19] INFO  Logger (null) - [Mulligan] SHAMAN vs SHAMAN.
2019-08-28 16:05:25,088 [19] INFO  Logger (null) - [Mulligan] Load rules for Control
2019-08-28 16:05:25,095 [19] INFO  Logger (null) - [Mulligan] 16 rules loaded successfully
2019-08-28 16:05:25,095 [19] INFO  Logger (null) - [Mulligan] Apply the Control rules:
2019-08-28 16:05:25,097 [19] INFO  Logger (null) - [Mulligan] ¼ª¶÷¡¤¸ñÀ×Âõ¶÷ discard because the card cost:6 is not less then Manarule cost:4.
2019-08-28 16:05:25,097 [19] INFO  Logger (null) - [Mulligan] Í¶»ðÎÞÃæÕß discard because the card cost:4 is not less then Manarule cost:4.
2019-08-28 16:05:25,097 [19] INFO  Logger (null) - [Mulligan] ´óäöÎÐ´«ËÍÃÅ discard by rule: KAR_073;shaman;shaman;Discard:2;/
.
2019-08-28 16:05:25,099 [19] INFO  Logger (null) - [Mulligan] Now thinking about mulliganing KAR_073 for 989 ms.
2019-08-28 16:05:26,332 [19] INFO  Logger (null) - [Mulligan] Now thinking about mulliganing OG_024 for 3067 ms.
2019-08-28 16:05:29,632 [19] INFO  Logger (null) - [Mulligan] Now thinking about mulliganing GIL_692 for 1014 ms.
2019-08-28 16:05:30,940 [19] INFO  Logger (null) - [GameplayScene_BEGIN_MULLIGAN] Now mulliganing GIL_692.
2019-08-28 16:05:32,299 [19] INFO  Logger (null) - [GameplayScene_BEGIN_MULLIGAN] Now mulliganing OG_024.
2019-08-28 16:05:33,650 [19] INFO  Logger (null) - [GameplayScene_BEGIN_MULLIGAN] Now mulliganing KAR_073.
2019-08-28 16:05:35,020 [19] INFO  Logger (null) - [GameplayScene_BEGIN_MULLIGAN] All cards are in the proper mulligan state. Now confirming the mulligan.
2019-08-28 16:05:35,021 [19] INFO  Logger (null) - [GameEventManagerOnMulliganConfirm]
2019-08-28 16:05:54,248 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:05:55,267 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:05:56,299 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:05:57,447 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:05:57,473 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:05:57,601 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:05:57,603 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:05:57,631 [19] INFO  Logger (null) - calculating stuff... 00:05:57.6319
2019-08-28 16:05:57,904 [19] INFO  Logger (null) - calculating ended! 00:05:57.9046
2019-08-28 16:05:57,904 [19] INFO  Logger (null) - play action
2019-08-28 16:05:57,912 [19] INFO  Logger (null) - use ablitiy: Í¼ÌÚÕÙ»½ target nothing
2019-08-28 16:06:00,423 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:00,434 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:00,542 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:00,544 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:00,556 [19] INFO  Logger (null) - calculating stuff... 00:06:00.5562
2019-08-28 16:06:00,671 [19] INFO  Logger (null) - calculating ended! 00:06:00.6719
2019-08-28 16:06:00,671 [19] INFO  Logger (null) - end turn
2019-08-28 16:06:01,949 [19] INFO  Logger (null) - [GameplayScene_MAIN_ACTION] Waiting for our turn to fully start/end.
2019-08-28 16:06:02,918 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:03,948 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:04,949 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:06,031 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:09,320 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:10,402 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:12,246 [19] INFO  Logger (null) - [GameplayScene_MAIN_ACTION] Waiting for our turn to fully start/end.
2019-08-28 16:06:13,567 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:06:14,602 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:06:15,624 [19] DEBUG Logger (null) - [GameplayScene_MAIN_ACTION_Friendly] Waiting to be in this state longer.
2019-08-28 16:06:16,716 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:16,727 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:16,870 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:16,871 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:16,883 [19] INFO  Logger (null) - calculating stuff... 00:06:16.8833
2019-08-28 16:06:17,121 [19] INFO  Logger (null) - calculating ended! 00:06:17.1217
2019-08-28 16:06:17,121 [19] INFO  Logger (null) - play action
2019-08-28 16:06:17,151 [19] INFO  Logger (null) - play: ÒõÈ¼µç÷© (44) target: Ê¯×¦Í¼ÌÚ (80)
2019-08-28 16:06:17,890 [19] INFO  Logger (null) - [Pickup] The card was picked up in 119 ms.
2019-08-28 16:06:17,893 [19] INFO  Logger (null) - [UseAt] 2
2019-08-28 16:06:19,869 [19] INFO  Logger (null) - targeting...
2019-08-28 16:06:23,970 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:23,980 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:24,119 [19] ERROR Logger (null) - [Unidentified card ID :HERO_02b]
2019-08-28 16:06:24,120 [19] ERROR Logger (null) - [Unidentified card ID :CS2_049_H2]
2019-08-28 16:06:24,130 [19] INFO  Logger (null) - calculating stuff... 00:06:24.1307
2019-08-28 16:06:24,205 [19] INFO  Logger (null) - calculating ended! 00:06:24.2055
2019-08-28 16:06:24,205 [19] INFO  Logger (null) - end turn
2019-08-28 16:06:25,500 [19] INFO  Logger (null) - [GameplayScene_MAIN_ACTION] Waiting for our turn to fully start/end.
2019-08-28 16:06:27,318 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:28,409 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:29,484 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:30,502 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:31,533 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:32,591 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:33,651 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:34,736 [19] INFO  Logger (null) - [OpponentTurn]
2019-08-28 16:06:43,206 [19] INFO  Logger (null) - [GameplayScene_MAIN_ACTION] Waiting for our turn to fully start/end.
